flat_type,price,flat_price,address,location,location1,buildup_area,buildupArea_sqft,avg_price_sqft,avg_price_thousands,age_of_property,new_age,which_floor,furnishing,project_name,brokrage,carpet_area,bedrooms,bathrooms,balcony,parking,about_property
4 BHK Flat,12.06 Cr,12.06,"Windsor Grande Residences, Mhada Colony, Andheri West, Mumbai",Andheri West,Andheri West,3500 sq.ft,3500,₹34.47 K/sq.ft,34470.0,5 Year Old,5,Higherof 33 floors,Semi Furnished,Windsor Grande Residences,15.0 LacsAccess Zero Brokerage Properties,3000 sq.ft,4,5,7,3 Covered Parking,"• *Windsor Grande Residences Brand new Apartment* in Mumbai Andheri-West presents an exclusive opportunity to own a stunning home that offers all kinds of amenities and facilities.

• This includes a petrol pump, clinic, and easy access to swimming pRead More"
4 BHK Flat,4.8 Cr,4.8,"Transcon Tirumala Habitats, Vasant Oscar, Mulund West, Mumbai",Mulund West,Mulund West,2013 sq.ft,2013,₹23.84 K/sq.ft,23840.0,6 Year Old,6,Higherof 41 floors,Unfurnished,Transcon Tirumala Habitats,4.8 LacsAccess Zero Brokerage Properties,1830 sq.ft,4,3,1,2 Covered Parking,"4BHK Flat Available For Sale at Tirumala Habitats Good mountain view with a very good air ventilation. Very good amenities in society in mulund west  More About This Property 4 BHK Flat for sale in Mumbai. This property is in Mulund West, which is a Read More"
4 BHK Flat,7.0 Cr,7.0,"Mayfair Kumkum, SV Patel Nagar, Andheri West, Mumbai",Andheri West,Andheri West,1700 sq.ft,1700,₹41.18 K/sq.ft,41180.0,20 Year Old,20,Middleof 11 floors,Fully Furnished,Mayfair Kumkum,7.0 LacsAccess Zero Brokerage Properties,1365 sq.ft,4,4,No Balcony,No Parking,"Looking for a 4 BHK Flat for sale in Mumbai? Your search ends here. Buy this 4 BHK property in Mumbai's finest location, Andheri West. It is on floor 7 out of 11 floors. This Flat is available at a reasonable price of Rs 7.0 Cr. Maintenance charges iRead More"
5 BHK Flat,17.5 Cr,17.5,"Hiranandani Gardens Richmond Tower, Hiranandani Gardens, Powai, Mumbai",Powai,Powai,4925 sq.ft,4925,₹35.53 K/sq.ft,35530.0,10 Year Old,10,Lowerof 29 floors,Unfurnished,17.5 LacsAccess Zero Brokerage Properties,17.5 Cr,5,5,3,21 days ago,2 Covered and 2 Open Parking,"The available project units are in Ready To Move state. This well-designed area has a total of 1 towers, each with its own benefit. Richmond's commencement certificate has not been granted. The occupancy certificate also not granted. The well-known bRead More"
4 BHK Flat,6.5 Cr,6.5,"MHADA Colony, Juhu, Mumbai",Juhu,Santacruz West,1500 sq.ft,1500,₹43.33 K/sq.ft,43330.0,20 Year Old,20,Higherof 7 floors,,6.5 LacsAccess Zero Brokerage Properties,6.5 Cr,4,No Balcony,16 days ago,,1 Covered and 1 Open Parking,"Looking for a good 4 BHK Flat in Juhu, Mumbai? This property is in one of Mumbai's most popular locations. The property is on floor 5. Total number of floors is 7. This Flat is available for Rs 6.5 Cr. This modern unit has a built-up area of 1500 squRead More"
4 BHK Flat,11.0 Cr,11.0,"Grand Vista, Parsi Colony, Dadar East, Mumbai",Dadar East,Dadar East,2300 sq.ft,2300,₹47.83 K/sq.ft,47830.0,10 Year Old,10,Middleof 14 floors,Semi Furnished,11.0 LacsAccess Zero Brokerage Properties,11.0 Cr,4,4,1,27 days ago,2 Covered Parking,"Looking for a 4 BHK Flat for sale in Mumbai? Your search ends here. Buy this 4 BHK property in Mumbai's finest location, Dadar East. It is on floor 8 out of 14 floors. This Flat is available at a reasonable price of Rs 11.0 Cr. Maintenance charges inRead More"
4 BHK Flat,6.05 Cr,6.05,"Tilak Nagar, Goregaon West, Mumbai",Goregaon West,Goregaon West,2272 sq.ft,2272,₹26.63 K/sq.ft,26630.0,4 Year Old,4,Middleof 47 floors,Unfurnished,6.0 LacsAccess Zero Brokerage Properties,6.05 Cr,4,4,1,More than a month ago,1 Covered Parking,"This 4 BHK apartment is available for sale in Imperial Heights, one of the most prominent projects for flats in Goregaon west, Mumbai andheri-dahisar. The floor plan additionally contains 4 bedroom(s), 4 bathrooms . All in all, the flat is spread oveRead More"
4 BHK Flat,6.0 Cr,6.0,"Oberoi Enigma and Eternia, Vasant Oscar, Mulund West, Mumbai",Mulund West,Mulund West,2186 sq.ft,2186,₹27.45 K/sq.ft,27450.0,5 Year Old,5,Middleof 30 floors,Unfurnished,Oberoi Enigma and Eternia,6.0 LacsAccess Zero Brokerage Properties,1988 sq.ft,4,3,2,3 Covered Parking,"4 BHK flat Available for Sale at Oberoi Enigma uxurious living desires. With its great location near colleges, shopping malls, commercial districts and entertainment zone, the region is the epitome of ease and accessibility. Oberoi excellent record fRead More"
4 BHK Flat,7.3 Cr,7.3,"Runwal Elegante, Highland Park, Andheri West, Mumbai",Andheri West,Andheri West,2250 sq.ft,2250,₹32.44 K/sq.ft,32439.999999999996,5 Year Old,5,Lowerof 32 floors,Unfurnished,Runwal Elegante,7.3 LacsAccess Zero Brokerage Properties,1650 sq.ft,4,4,3,2 Covered Parking,"4 BHK Flat for sale in Mumbai. This property is in Andheri West, which is a coveted investment location. This tastefully designed 4 BHK unit is among Mumbai's best properties. Contact now for more details. This property in Mumbai is on floor 3. The tRead More"
4 BHK Flat,6.9 Cr,6.9,"Oberoi Sky City Tower E, Magathane, Borivali East, Mumbai",Borivali East,Borivali East,1790 sq.ft,1790,₹38.55 K/sq.ft,38550.0,1 Years Old,1,Middleof 62 floors,Unfurnished,Oberoi Sky City Tower E,6.9 LacsAccess Zero Brokerage Properties,1393 sq.ft,4,4,1,3 Covered Parking,"This 4BHK apartment is available for sale in Oberoi Sky City, Borivali East. It has 4 bedrooms 4 bathrooms. The apartment is spacious with a carpet area of 1393 sq. Ft. It has vitrified flooring. Located on the 40th floor of 62 floors, the expected pRead More"
4 BHK Flat,10.75 Cr,10.75,"Hiranandani Gardens, Powai, Mumbai",Powai,Powai,1900 sq.ft,1900,₹56.58 K/sq.ft,56580.0,15 Year Old,15,Higherof 18 floors,Semi Furnished,Ambrosia,10.8 LacsAccess Zero Brokerage Properties,1450 sq.ft,4,4,1,2 Covered and 1 Open Parking,"property is on middle floor
low density society
good connectivity
all modern amenities More About This Property Best 4 BHK Flat for modern-day lifestyle is now available for sale. Grab this 4 BHK property for sale in one of Mumbai's top location, PowRead More"
4 BHK Flat,13.0 Cr,13.0,"Lakefront Solitaire, Hiranandani Gardens, Powai, Mumbai",Powai,Powai,3250 sq.ft,3250,₹40 K/sq.ft,40000.0,10 Year Old,10,Lowerof 26 floors,Semi Furnished,Lakefront Solitaire,13.0 LacsAccess Zero Brokerage Properties,2250 sq.ft,4,5,2,2 Covered Parking,"4 BHK Flat for sale in Powai, Mumbai - contact now, for details about the most coveted property. This 4 BHK unit is available in Powai and offers a premium lifestyle at the best price. It is a desired purchase for any homebuyer in Powai. It is on floRead More"
4 BHK Flat,10.5 Cr,10.5,"Hiranandani Gardens Odyssey II, Panchkutir Ganesh Nagar, Powai, Mumbai",Powai,Powai,2790 sq.ft,2790,₹37.63 K/sq.ft,37630.0,8 Year Old,8,Lowerof 27 floors,Unfurnished,Hiranandani Gardens Odyssey II,10.5 LacsAccess Zero Brokerage Properties,2200 sq.ft,4,4,3,3 Covered Parking,"This is 4bhk flat for sale in Odyssey Bldg., Hiranandani Gardens, Powai in good locality. This is 2790 sq. ft. built up and 2200 sq.ft carpet area. with 3 covered parking.  All modern amenities available there. More About This Property 4 BHK Flat forRead More"
4 BHK Flat,11.0 Cr,11.0,"Ashok Nagar, Juhu, Mumbai",Juhu,Santacruz West,1950 sq.ft,1950,₹56.41 K/sq.ft,56410.0,15 Year Old,15,Middleof 9 floors,Unfurnished,,11.0 LacsAccess Zero Brokerage Properties,11.0 Cr,4,4,No Balcony,2 Covered Parking,"EMPTY FLAT WITH MODULAR KITCHEN, POWER BACKUP WITH IMMEDIATE POSITION,  More About This Property A 4 BHK Flat for sale in Juhu, Mumbai. This beautifully designed 4 BHK unit with all the modern-day comforts is one of Juhu's most desired properties. CoRead More"
5 BHK Flat,5.0 Cr,5.0,"Kohinoor City, Vidya Vihar West, Kurla West, Mumbai",Kurla West,Kurla West,2500 sq.ft,2500,₹20 K/sq.ft,20000.0,5 Year Old,5,Higherof 10 floors,Semi Furnished,Kohinoor City,5.0 LacsAccess Zero Brokerage Properties,1650 sq.ft,5,4,4,2 Covered Parking,"5 bedroom with 4 bathrooms spacious  airy flat with excellent cross ventilation. Well planned society, dedicated car parking, kids play area, fully equipped Gym, Walking Tracks, beautiful land scaping. Everything near by shops, school, hospital, mallRead More"
4 BHK Flat,15.0 Cr,15.0,"Lokhandwala Imperial Heights, Pali Hill, Bandra West, Mumbai",Bandra West,Bandra West,3600 sq.ft,3600,₹41.67 K/sq.ft,41670.0,20 Year Old,20,Higherof 10 floors,Semi Furnished,Lokhandwala Imperial Heights,15.0 LacsAccess Zero Brokerage Properties,3500 sq.ft,4,4,4,3 Covered Parking,"Actual pica of 4bhk 3500 Sqft usable carpet flat in higher floor pali hill Bandra west Aviaibile with 3 parking or private pool , or garden  More About This Property Looking for a good 4 BHK Flat in Bandra West, Mumbai? This property is in one of MumRead More"
4 BHK Flat,4.8 Cr,4.8,"K Raheja Maple Leaf, Panchkutir Ganesh Nagar, Powai, Mumbai",Powai,Powai,2500 sq.ft,2500,₹19.20 K/sq.ft,19200.0,9 Year Old,9,Middleof 20 floors,Semi Furnished,K Raheja Maple Leaf,4.8 LacsAccess Zero Brokerage Properties,1746 sq.ft,4,3,5,2 Covered Parking,"Spacious 4BHK with possibility to convert one of the kitchens into a extra room, office station, study etc. More About This Property A 4 BHK Flat for sale in Andheri East, Mumbai. This beautifully designed 4 BHK unit with all the modern-day comforts Read More"
4 BHK Flat,6.1 Cr,6.1,"Park Road, Vile Parle East, Mumbai",Vile Parle East,Vile Parle East,1550 sq.ft,1550,₹39.35 K/sq.ft,39350.0,unknown,unknown,unknown,,,6.1 LacsAccess Zero Brokerage Properties,6.1 Cr,4,4,No Balcony,1 Covered Parking,"A 4 BHK Flat for sale in Vile Parle East, Mumbai. This beautifully designed 4 BHK unit with all the modern-day comforts is one of Vile Parle East's most desired properties. Contact now for more information. This 4 BHK unit is on floor 8. There are 10Read More"
4 BHK Flat,7.0 Cr,7.0,"DB Woods, Gokuldham, Goregaon East, Mumbai",Goregaon East,Goregaon East,2500 sq.ft,2500,₹28 K/sq.ft,28000.0,9 Year Old,9,Middleof 42 floors,Semi Furnished,DB Woods,7.0 LacsAccess Zero Brokerage Properties,1700 sq.ft,4,4,1,2 Covered Parking,"""Introduction: Welcome to DB Orchid Woods Apartments, an abode of magnificent Apartments in Mumbai with all modern features required for a contemporary lifestyle. These Residential Apartments in Mumbai flaunts a resort like environment. It is now easRead More"
4 BHK Flat,4.9 Cr,4.9,"Radius Epitome at Imperial Heights, Best Nagar, Goregaon West, Mumbai",Goregaon West,Goregaon West,1925 sq.ft,1925,₹25.45 K/sq.ft,25450.0,10 Year Old,10,Middleof 47 floors,Semi Furnished,Radius Epitome at Imperial Heights,4.9 LacsAccess Zero Brokerage Properties,1425 sq.ft,4,4,No Balcony,2 Covered Parking,Gated Society 47 Storey  Tower 3 Wings Located In Oshiwara Connectivity Link Road Sv Road In 5 To 8 Mins Metro Station Near By Goregaon Station in 20Mins. On Prime Location. Near By In 2 Km Radius Malls Hosiptal  Restaurant Banks School College GroceRead More
4 BHK Flat,12.5 Cr,12.5,"Bombay ICC, Spring Mill Complex, Wadala, Mumbai",Wadala,Wadala,3200 sq.ft,3200,₹39.06 K/sq.ft,39060.0,5 Year Old,5,Higherof 65 floors,Fully Furnished,Bombay ICC,12.5 LacsAccess Zero Brokerage Properties,2500 sq.ft,4,4,No Balcony,3 Covered Parking,"recently renovated Brand new 4 BHK Apartment available for rent in ICC. This project offers premium amenities to the residents and comes with 3 and 4 BHK apartments. Some of the top amenities available include a swimming pool, gymnasium,  table tenniRead More"
4 BHK Flat,7.75 Cr,7.75,"Godrej Platinum, Pirojshanagar, Vikhroli East, Mumbai",Vikhroli East,Vikhroli East,2150 sq.ft,2150,₹36.05 K/sq.ft,36050.0,10 Year Old,10,Higherof 28 floors,Semi Furnished,Godrej Platinum,8.0 Lacs(Negotiable)Access Zero Brokerage Properties,1700 sq.ft,4,5,No Balcony,3 Covered Parking,"Spacious 4bhk Duplex Available. Situated in Pirojshanagar, Central mumbai suburbs, Godrej Platinum is a well planned society that offers a pleasant living experience to its residents. This 4 BHK flat in Central Mumbai Suburbs is your opportunity to bRead More"
4 BHK Flat,4.8 Cr,4.8,"P&T Staff Colony, Mulund West, Mumbai",Mulund West,Mulund West,2400 sq.ft,2400,₹20 K/sq.ft,20000.0,4 Year Old,4,Middleof 25 floors,Fully Furnished,4.8 LacsAccess Zero Brokerage Properties,4.8 Cr,4,4,1,More than a month ago,2 Covered Parking,"Self Owned 4 BHK Fully Furnished Luxurious Flat with Deck at Runwal Greens, Mulund West. This flat is east facing completely Vastu compliant flat. This property is a boutique luxury project for a privileged few. Featuring large apartments with panoraRead More"
4 BHK Flat,13.95 Cr,13.95,"Hiranandani Gardens Glen Ridge, Hiranandani Gardens, Powai, Mumbai",Powai,Powai,2200 sq.ft,2200,₹63.41 K/sq.ft,63410.0,2 Year Old,2,Middleof 31 floors,Unfurnished,Hiranandani Gardens Glen Ridge,13.9 LacsAccess Zero Brokerage Properties,1650 sq.ft,4,4,1,2 Covered Parking,"4 BHK Apartment is available For Sale at Glen Ridge, Hiranandani Gardens, Powai. with All basic amenities in the complex 24 Hr Power Back Up, 24x7 Security With Camera Surveillance, Gym, Swimming Pool, Garden, 1 Car Parking, Excellent Accessibility TRead More"
6 BHK Flat,14.0 Cr,14.0,"Mhada Colony, Andheri West, Mumbai",Andheri West,Andheri West,2700 sq.ft,2700,₹51.85 K/sq.ft,51850.0,unknown,unknown,unknown,,14.0 LacsAccess Zero Brokerage Properties,14.0 Cr,6,6,2,28 days ago,4 Covered Parking,"A HUGE SPACIOUS 6BHK (3+3) WITH BALCONY OFFERING THE BEAUTIFUL CITY VIEW LOCATED IN ONE OF THE PREMIUM PROJECT OF ANDHERI WEST WITH BEST IN CLASS AMENITIES. More About This Property 6 BHK Flat for sale in Mumbai. This property is in Andheri West, whiRead More"
4 BHK Flat,5.85 Cr,5.85,"Runwal Greens, Hira Nagar, Mulund West, Mumbai",Mulund West,Mulund West,3090 sq.ft,3090,₹18.93 K/sq.ft,18930.0,4 Year Old,4,Middleof 40 floors,Semi Furnished,Runwal Greens,5.2 LacsAccess Zero Brokerage Properties,1960 sq.ft,4,4,2,2 Covered Parking,"Runwal Greens Mulund is a definitive in high-luxury residential living. With 7 acres of open space for greenery, world-class clubhouse, lifestyle amenities, clear views of hills & creek and location advantages, it offers a complete bouquet of luxury Read More"
4 BHK Flat,2.1 Cr,2.1,"Lokhandwala Township, Kandivali East, Mumbai",Kandivali East,Kandivali East,1320 sq.ft,1320,₹15.91 K/sq.ft,15910.0,20 Year Old,20,Higherof 7 floors,Semi Furnished,Baronet and Senate,2.1 LacsAccess Zero Brokerage Properties,1080 sq.ft,4,2,No Balcony,1 Covered Parking,"This lovely 2 BHK apartment/flat in Kandivali East is available for sale in one of Mumbai Andheri-dahisar's most popular projects, Baronet. Containing 2 bedroom(s), 2 bathroom , this flat is spread over a Carpet Area of 540 sq.ft. The flat has a totaRead More"
4 BHK Flat,9.5 Cr,9.5,"Transcon Triumph , Adarsh Nagar, Andheri West, Mumbai",Andheri West,Andheri West,3600 sq.ft,3600,₹26.39 K/sq.ft,26390.0,5 Year Old,5,Middleof 37 floors,Unfurnished,,9.5 LacsAccess Zero Brokerage Properties,9.5 Cr,4,4,No Balcony,1 Covered Parking,"Available Resale 4 Bhk Flat @ Promising locality Andheri West. For more details contact with us More About This Property 4 BHK Flat for sale in Andheri West, Mumbai with modern-day amenities. The Flat is in Andheri West which is a promising investmenRead More"
6 BHK Flat,10.26 Cr,10.26,"Oberoi Springs, Veer Desai Industrial Estate, Andheri West, Mumbai",Andheri West,Andheri West,2400 sq.ft,2400,₹42.74 K/sq.ft,42740.0,5 Year Old,5,Middleof 42 floors,Semi Furnished,Oberoi Springs,10.0 Lacs(Negotiable)Access Zero Brokerage Properties,2000 sq.ft,6,4,6,2 Covered and 2 Open Parking,"The attached bathroom is clean and spacious, equipped with all necessary fixtures. the apartment offers a serene garden view that allows you to unwind and relax.

• The locality is well-connected and conveniently located adjoining the metro station,Read More"
4 BHK Flat,12.25 Cr,12.25,"Two Roses, Bandra West, Mumbai",Bandra West,Bandra West,1800 sq.ft,1800,₹68.06 K/sq.ft,68060.0,5 Year Old,5,Higherof 18 floors,,12.3 LacsAccess Zero Brokerage Properties,12.25 Cr,4,4,1,20 days ago,2 Open Parking,"4 BHK Flat for sale in Bandra West, Mumbai - contact now, for details about the most coveted property. This 4 BHK unit is available in Bandra West and offers a premium lifestyle at the best price. It is a desired purchase for any homebuyer in Bandra Read More"
4 BHK Flat,6.49 Cr,6.49,"Nahar Burberry and Bryony, Chandivali, Powai, Mumbai",Powai,Powai,2100 sq.ft,2100,₹30.90 K/sq.ft,30900.0,10 Year Old,10,Higherof 18 floors,Semi Furnished,Nahar Burberry and Bryony,6.5 LacsAccess Zero Brokerage Properties,1800 sq.ft,4,4,1,1 Covered Parking,"Available 3 BHK Semi  furnished   for Resale  with 3 Bathrooms with Servant Room 1 Larg balcony    Apartment  in BRYONY BURBERY Carpet aera 1500 sqft , Nahar Amrit Shakti, Chandivali, Powai,    R 12 sector of Nahar Amrit Shakti complex Chandivali. ThRead More"
4 BHK Flat,4.5 Cr,4.5,"Thakur Jewel Tower, Thakur Village, Kandivali East, Mumbai",Kandivali East,Kandivali East,2480 sq.ft,2480,₹18.14 K/sq.ft,18140.0,10 Year Old,10,Lowerof 22 floors,Unfurnished,Thakur Jewel Tower,4.8 LacsAccess Zero Brokerage Properties,1600 sq.ft,4,4,No Balcony,2 Covered Parking,"Property for sale in Kandivali East, Mumbai. This 4 BHK Flat is located in Mumbai's most promising location. It is on floor 2. The total number of floors in this building is 22. This Flat's price is Rs 4.5 Cr. Homebuyers will also need to pay Rs 1200Read More"
4 BHK Flat,5.85 Cr,5.85,"Kanakia Levels, Gautam Nagar, Malad East, Mumbai",Malad East,Malad East,2400 sq.ft,2400,₹24.38 K/sq.ft,24380.0,8 Year Old,8,Middleof 38 floors,Semi Furnished,Kanakia Levels,5.8 LacsAccess Zero Brokerage Properties,1650 sq.ft,4,4,2,2 Covered Parking,"Multi-storey high rise tower of 35+ floors with ultra luxury amenities including swimming pool, Sauna , Steam , Pool, carom , Kids play area and landscaping.
Semi furnished apartment with balconies and big carpet area.
Good gated society with securitRead More"
4 BHK Flat,10.0 Cr,10.0,"Lodha Trump Tower Mumbai, Lower Parel, Mumbai",Lower Parel,Lower Parel,1890 sq.ft,1890,₹52.91 K/sq.ft,52910.0,7 Year Old,7,Middleof 55 floors,Semi Furnished,Lodha Trump Tower Mumbai,10.0 LacsAccess Zero Brokerage Properties,1490 sq.ft,4,3,No Balcony,3 Covered Parking,"Lodha trump
Location Worli
Semi furnished
Good view
Call me  More About This Property 4 BHK Flat for sale in Lower Parel, Mumbai with modern-day amenities. The Flat is in Lower Parel which is a promising investment destination in Mumbai. This might bRead More"
4 BHK Flat,5.3 Cr,5.3,"Adani Western Heights, Bhudargarh Colony, Andheri West, Mumbai",Andheri West,Andheri West,1924 sq.ft,1924,₹27.55 K/sq.ft,27550.0,6 Year Old,6,Lowerof 29 floors,Unfurnished,Adani Western Heights,5.3 LacsAccess Zero Brokerage Properties,1230 sq.ft,4,3,3,2 Covered Parking,"Looking for a 4 BHK Flat for sale in Mumbai? Your search ends here. Buy this 4 BHK property in Mumbai's finest location, Andheri West. It is on floor 0 out of 29 floors. This Flat is available at a reasonable price of Rs 5.3 Cr. Maintenance charges iRead More"
4 BHK Flat,1.16 Cr,1.16,"Aarey Colony, Goregaon East, Mumbai",Goregaon East,Goregaon East,1480 sq.ft,1480,₹7.80 K/sq.ft,7800.0,12 Year Old,12,Middleof 20 floors,,Golden Isle,No ChargeAccess Zero Brokerage Properties,1025 sq.ft,4,3,No Balcony,3 Open Parking,One of the finest property in Goregaon East is now available for sale. This is a 4 BHK Flat. Make it yours now. It is on floor 13. It is a 20 storeyed building. The price of this Flat is Rs 1.16 Cr. Other charges when you move into this property inclRead More
4 BHK Flat,3.15 Cr,3.15,"MHADA Colony, Mulund East, Mumbai",Mulund East,Mulund East,2100 sq.ft,2100,₹15 K/sq.ft,15000.0,21 Year Old,21,Higherof 8 floors,Fully Furnished,Saraswati,3.1 LacsAccess Zero Brokerage Properties,1400 sq.ft,4,4,No Balcony,2 Covered Parking,"Large 2 BHK jodi option , converted to 4 BHK available for sale and Mahada Colony, Mulund east. Good quality interior and well kept flat . It comes with 2 car parking. Pl call for site inspection and further details.
 More About This Property 4 BHK FRead More"
5 BHK Flat,9.25 Cr,9.25,"Shastri Nagar, Andheri West, Mumbai",Andheri West,Andheri West,2600 sq.ft,2600,₹35.58 K/sq.ft,35580.0,12 Year Old,12,Higherof 28 floors,Fully Furnished,,9.3 LacsAccess Zero Brokerage Properties,9.25 Cr,5,5,No Balcony,2 Covered Parking,A lavishly furnished ready to move HOME in a lavishly huge apartment with panoramic view of the city and its coasts and creeks in the middle of the most desired locality of Andheri West… 24x7 breeze is completely free of cost in this three sides openRead More
4 BHK Flat,17.5 Cr,17.5,"Prabhadevi , Century Bazaar, Prabhadevi, Mumbai",Prabhadevi,Prabhadevi,3500 sq.ft,3500,₹50 K/sq.ft,50000.0,7 Year Old,7,Lowerof 26 floors,Semi Furnished,16.0 Lacs(Negotiable)Access Zero Brokerage Properties,17.5 Cr,4,4,1,16 days ago,3 Covered Parking,One of the finest property in Prabhadevi is now available for sale. This is a 4 BHK Flat. Make it yours now. It is on floor 2. It is a 26 storeyed building. The price of this Flat is Rs 17.5 Cr. Other charges when you move into this property include Read More
4 BHK Flat,5.7 Cr,5.7,"KSA Palms, Agripada, Mumbai",Agripada,Agripada,2260 sq.ft,2260,₹25.22 K/sq.ft,25220.0,unknown,unknown,unknown,,KSA Palms,5.7 LacsAccess Zero Brokerage Properties,1370 sq.ft,4,4,No Balcony,2 Covered Parking,"KSA PALMS is one of the most prominent project build by KSA GROUP. It is a 22 storey tower with 1,2and 4bhk flats and options available. It has 3 levels of podium lift parking and has 24hrs security, CCTV CAMERA etc More About This Property One of thRead More"
4 BHK Flat,4.5 Cr,4.5,"Imperial Heights chs, Best Nagar, Goregaon West, Mumbai",Goregaon West,Goregaon West,2050 sq.ft,2050,₹21.95 K/sq.ft,21950.0,5 Year Old,5,Higherof 38 floors,Semi Furnished,4.5 LacsAccess Zero Brokerage Properties,4.5 Cr,4,4,2,30 days ago,2 Covered Parking,".Luxury is not an attraction here; it is ingrained.
From the spacious landscape gardens to the splendid homes & clubhouse, you are spoilt for choice. With 'The Epitome' (Tower C & D), one of the finest Luxury Apartments in Mumbai, we have spun every Read More"
5 BHK Flat,25.0 Cr,25.0,"Hiranandani Richmond, Hiranandani Gardens, Powai, Mumbai",Powai,Powai,4925 sq.ft,4925,₹50.76 K/sq.ft,50760.0,10 Year Old,10,Middleof 24 floors,Semi Furnished,Hiranandani Richmond,25.0 LacsAccess Zero Brokerage Properties,3800 sq.ft,5,6,2,3 Covered Parking,"Richmond, by Hiranandani Developers is the perfect choice for those looking for a luxury apartment in Hiranandani Gardens Powai, Mumbai. With its spacious apartments, top-of-the-line amenities, and stunning design, Richmond is sure to impress even thRead More"
4 BHK Flat,3.75 Cr,3.75,"Runwal Greens, Industrial Area, Bhandup West, Mumbai",Bhandup West,Bhandup West,1750 sq.ft,1750,₹21.43 K/sq.ft,21430.0,5 Year Old,5,Middleof 40 floors,Semi Furnished,Runwal Greens,3.8 LacsAccess Zero Brokerage Properties,1382 sq.ft,4,4,4,2 Covered and 1 Open Parking,"3.5 BHK APARTMENT WITH BALCONY FOR SALE IN RUNWAL GREENS, THE APARTMENT HAS VIEW OF YOGI HILLS & MULUND'S CITY SKYLINE, THE COMPLEX HAS ALL THE AMENITIES AND ALSO HAS R-GALLERIA WITHIN THE COMPLEX, NEXT FORTIS, D-MART, EASTERN EXPRESS HIGHWAY, FOR MORead More"
5 BHK Flat,20.0 Cr,20.0,"Omkar 1973, Hanuman Nagar, Worli, Mumbai",Worli,Worli,4500 sq.ft,4500,₹44.44 K/sq.ft,44440.0,10 Year Old,10,Middleof 65 floors,Unfurnished,Omkar 1973,20.0 LacsAccess Zero Brokerage Properties,4236 sq.ft,5,5,6,4 Covered Parking,"5BHK apartment available for sale at Omkar 1973 Worli. The apartment is in a bareshell condition, having a carpet area of 4236 sq.ft. and comes with 4 covered car parks. The expected sale consideration is Rs. 20 Crore. Get in touch with us for more dRead More"
4 BHK Flat,10.0 Cr,10.0,"Hiranandani Gardens Octavius, Sainath Nagar, Powai, Mumbai",Powai,Powai,2200 sq.ft,2200,₹45.45 K/sq.ft,45450.0,10 Year Old,10,Higherof 36 floors,Fully Furnished,Hiranandani Gardens Octavius,10.0 LacsAccess Zero Brokerage Properties,1800 sq.ft,4,3,No Balcony,2 Covered Parking,"Add - Octavius Building, Hiranandani Garden, Powai, Mumbai-400076.
4bhk Exclusive fully furnished apartment is available for Sale. This is fully interior done up and vastu complaint apartment, it has tow covered car parking. Apartment on higher floorRead More"
4 BHK Flat,9.3 Cr,9.3,"AR Elanza, Prabhadevi, Mumbai",Prabhadevi,Prabhadevi,1650 sq.ft,1650,₹56.36 K/sq.ft,56360.0,5 Year Old,5,Middleof 23 floors,Unfurnished,AR Elanza,9.3 LacsAccess Zero Brokerage Properties,1600 sq.ft,4,4,No Balcony,2 Covered Parking,"4 BHK Flat for sale in Prabhadevi, Mumbai - contact now, for details about the most coveted property. This 4 BHK unit is available in Prabhadevi and offers a premium lifestyle at the best price. It is a desired purchase for any homebuyer in PrabhadevRead More"
4 BHK Flat,13.0 Cr,13.0,"MHADA Colony, Juhu, Mumbai",Juhu,Santacruz West,2000 sq.ft,2000,₹65 K/sq.ft,65000.0,10 Year Old,10,Higherof 12 floors,,13.0 LacsAccess Zero Brokerage Properties,13.0 Cr,4,1,17 days ago,,1 Covered and 1 Open Parking,One of the finest property in Juhu is now available for sale. This is a 4 BHK Flat. Make it yours now. It is on floor 11. It is a 12 storeyed building. The price of this Flat is Rs 13.0 Cr. This Flat is spacious with a built-up area of 2000 square_feRead More
4 BHK Flat,12.5 Cr,12.5,"Windsor Grande Residences, Highland Park, Andheri West, Mumbai",Andheri West,Andheri West,3300 sq.ft,3300,₹37.88 K/sq.ft,37880.0,6 Year Old,6,Middleof 32 floors,Semi Furnished,Windsor Grande Residences,12.5 LacsAccess Zero Brokerage Properties,2300 sq.ft,4,4,4,3 Covered Parking,"4 BHK UNIT ANDHERI LOKHANDWALA ONE OF THE BEST SOCIETY ANDHERI LOKHANDWALA CELEBRITY FILLING LUXURY FLATS AND BIG CARPET AREA AND HIGHER FLOOR WITH HIGH RAISE ALL AMENITIES  More About This Property Property for sale in Andheri West, Mumbai. This 4 BRead More"
4 BHK Flat,9.5 Cr,9.5,"Kamala Nagar, Vile Parle West, Mumbai",Vile Parle West,Vile Parle West,1700 sq.ft,1700,₹55.88 K/sq.ft,55880.0,10 Year Old,10,Higherof 7 floors,Unfurnished,,9.5 LacsAccess Zero Brokerage Properties,9.5 Cr,4,4,No Balcony,2 Open Parking,"Looking for a good 4 BHK Flat in Vile Parle West, Mumbai? This property is in one of Mumbai's most popular locations. The property is on floor 5. Total number of floors is 7. Maintenance charges of this property is Rs 20400. This Flat is available foRead More"
